title,creator,collection,location,lat-long,subject,description,date-digital,date-original,date,format,digitization-specifications,iwrri-number,resource-identifier,rights-management,publisher,contributors,type,contributing-institution,metadata-cataloger,series,reference-url,cdm-number,cdm-file-name,full-resolution
Approximate solution to the Navier-Stokes equations for flow through a rectangularly packed bed of spheres,"Carson Jr., William McKinley",Boise Basin,,,fluid friction;,"Approximate solutions for the Navier -Stokes equations describing fluid fiow through a rectangular packing of spheres were obtained for Reynolds numbers of 0.1, 1, 7 and 35. Initial attempts to solve the Navier-Stokes equations with the inertia terms intact were unsuccessful. However, the methods used in these  solution attempts are given in detail. The results reported are based on an Oseen linearization of the full Navier-Stokes equations. The solutions were approximated by triple trigonometric series and the unknown coefficients evaluated using the Galerkin method for error distribution. Velocity components and pressure in the void space of the bed are given as explicit functions of the spacial coordinates. Friction factors for the packed bed and superficial velocity were evaluated from the velocity functions and are shown to agree with the experimental observations of previous investigators. The viscous and kinetic contribution to the energy dissipation are partitioned using first principles of the mechanical energy balance and evidence is given khat the viscous and kinetic effects determined by semiempirical methods do not show the actual relationship between viscous and kinetic losses in the intermediate Reynolds number range. Based on friction factor and superficial velocity, the Oseen linearization is shown to be valid for packed flow at Reynolds numbers less than seven, and invalid for a Reynolds number of 35. Suggestions for future research are included.",2012,8/1/1970,1970-08,application/pdf,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",197003,197003,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,University of Idaho,Idaho Water Resources Research Institute; IWRRI,Text,University of Idaho,wbv,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/idahowater/id/196,196,196.pdf,Volume11/197003.pdf
"Aquaculture techniques: water use and discharge quality. Research technical completion report, project A-022-IDA","Klontz, George W.; Brock, Irvin R.",IWRRI,,,fishing industry waste water; waste management; effluent limitations,"At least two problems regarding fish hatchery and farm effluents become apparent: 1) how to reduce economically the waste load in effluents from fish culture operations and 2) how to raise fish within the permitted discharge limitations. This project was designed to define the problems, to test methods for their resolution, and to implement those methods deemed most appropriate for each particular situation.",2012,4/1/1978,1978-04,application/pdf,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",197808,197808,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,University of Idaho,Idaho Water Resources Research Institute; IWRRI,Text,University of Idaho,wbv,Water for Idaho,http://digital.lib.uidaho.edu:80/cdm/ref/collection/idahowater/id/505,505,505.pdf,Volume22/197808.pdf
"Aquatic environment and food habits of mayflies. Research technical completion report, project A-022-IDA","Brusven, M. A.; Gilpin, B. R.",Coeur d'Alene Basin,St. Maries River,"47.26, -116.6",mayflies; feeding rates; habitats,"The food  habits and ecology were studied for 31 species of mayfly nymphs from the St. Maries River in Idaho, during 1967 and 1968. Mayfly nymphs were basically herbivores, feeding on variable amounts of detritus, diatoms and filamentous algae; insects were occasionally consumed. The feeding habits depended largely on the microhabitat of the nymph, e.g. riffle species generally fed more on filamentous algae and diatoms while pool-inhabiting nymphs fed largely on detritus. Different age c:lasses of nymphs usually fed on the same relative composition of food. Nymphs of many mayfly species demonstrated similar microhabitat affinities, although the macrohabitats were often dissimilar. Bottom type and current speed were important factors limiting mayfly distribution. A dendrogram was used to correlate station similarities biotically; several diverse habitats supported the same species.",2012,6/1/1969,1969-06,application/pdf,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",196904,196904,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,University of Idaho,Idaho Water Resources Research Institute; IWRRI,Text,University of Idaho,wbv,Water for Idaho,http://digital.lib.uidaho.edu:80/cdm/ref/collection/idahowater/id/217,217,217.pdf,Volume11/196904.pdf
"Archiving of deep percolation models, data files, and calculated recharge estimates for the Columbia Plateau regional aquifer system, Washington, Oregon, and Idaho. U.S. Geological Survey Open-file report 88-186","Vaccaro, J. J.; Bauer, H. H.",Palouse Basin,Columbia Basalt,"46.96, -118.08",deep percolation; model studies; estimating; groundwater recharge,"The document describes the archiving of computer files used in the deep percolation numerical model employed to estimate recharge to the Columbia River Plateau regional aquifer system in Washington, Oregon, and Idaho.",2012,1990,1990,application/pdf,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",,1990_Vaccaro_Bauer_Archiving_of_Deep,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,US Geological Survey Open File Report 88-186,Idaho Water Resources Research Institute; IWRRI,Text,University of Idaho,wbv,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/idahowater/id/315,315,315.pdf,Volume17/1990_Vaccaro_Bauer_Archiving_of_Deep.pdf
"Arsenate and sulfate reduction in the sediments of Coeur d'Alene Lake, Idaho","Harrington, James M.",Coeur d'Alene Basin,Coeur d'Alene Lake,"47.54, -116.82",heavy metals; mine wastes; sediment; water pollution,"Sediments of Lake Coeur d'Alene, Idaho (CDAL) have been extensively contaminated with iron and trace elements from mining activities in the Coeur d'Alene mining district. Previous surveys of (CDAL) sediment have suggested the majority of the metals are bound in an oxide phase, and if true, contaminated water may result if anoxic conditions occur in the water column. In contrast, data from this study indicate that the majority of the iron and trace elements are bound in a sulfidic phase. Examination of the sediment pore waters shows iron and trace element concentrations to be more than federal drinking water standards. Strongly reducing conditions and an abundant microbial community are also present, indicating that reactions that occur under reducing conditions are predominant in CDAL sediments. In particular, sulfate-reducing bacteria (SRB) are abundant in CDAL sediments. Isolates of native SRB have the ability to form sulfides from soluble metal. In such conditions, metal solubility is low. indicating that SRB may act to mitigate the effects of metal contamination in CDAL. Arsenic shows some different trends as compared with other trace elements. Arsenic solubility is highest in redox potential between the ferric to ferrous couple and the sulfate to sulfide couple. As (III) is not sorbed as well to sediment components, and hence formation of reduced forms of arsenic may encourage arsenic mobilization in anoxic sediments. Bacterial transformations of arsenic have recently been shown to occur in sediments. In this study, arsenic reducing organisms were found to be less abundant than SRB, but still numerous. Additions of soluble As (V) to sediment microcosms were reduced to As (III). This reduction was stimulated by organic acids, and was inhibited by a respiratory inhibitor of SRB. These results suggest that SRB can form metal sulfides, and also mobilize arsenic by creating a reduced mobile form.",2012,5/1/1998,1998-05,application/pdf,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",,CDA_Harrington_1998,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,University of Idaho,Idaho Water Resources Research Institute; IWRRI,Text,University of Idaho,wbv,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/idahowater/id/153,153,153.pdf,Volume10/CDA_Harrington_1998.pdf
"Arsenic speciation and water pollution associated with mining in the Coeur d'Alene Mining District, Idaho. Research technical completion report, G903-06","Wai, C. M.; Mok, W. M.",Coeur d'Alene Basin,Coeur d'Alene River,"47.52, -116.53",mine wastes; water pollution; arsenic; speciation; groundwater pollution;,"The Coeur d' Alene Mining District is one of the major silver, lead, and zinc producing areas in the United States. The area also encompasses some of the foremost pollution problems in Idaho. The primary problems of environmental concern in this area today are the operating and abandoned tailings piles scattered throughout the district, the huge quantities of mine wastes accumulated along the streams, and the acid mine drainage from existing mines in the district. From previous studies, it is known that mine wastes containing iron sulfide (pyrite) in this area are capable of producing acid waters under oxidizing conditions. The redox status of ground water is an important factor in determining the degree of acid water formation and subsequent leaching of metals from mine tailings and ore bodies in this mining area. A new approach for measurement of the redox status of ground water involving analysis of water samples for concentrations of two arsenic species, As(V) and As(III), has been studied in this project. Based on thermodynamic equilibrium considerations, the apparent redox conditions can be evaluated from measured ratios of As(V)/As(III) in water. A simple solvent extraction method has been developed for the separation of arsenic species in mine waters using ammonium pyrrolidinedthiocarbamate (APDTC) as a chelatinq agent. The APDTC extraction method combined with neutron activation technique provides a very sensitive method for determining arsenic species in natural water systems. A detection limit of 0.1 ppb for the arsenic species in natural waters can be easily achieved using this method. This analytical method for arsenic speciation study is in the process of being published by ANALYTICAL CHEMISTRY. Ground water samples were collected from a major lead-zinc mine (the Bunker Hill Mine) and from other locations of the Coeur d'Alene Mininq District to study the relationships between the arsenic species and other water quality data. The As(V)/As(III) ratios in ground waters collected from the Bunker Hill Mine were found to vary by more than two orders of magnitude indicating a wide range of redox conditions existing in the mine. The quality of ground water in the mine is strongly correlated with the ratio of As(V)/As(III) found in the system. Good quality waters were generally associated with low ratios (&lt;1) of As(V)/As(III). The ratio of the arsenic species and the concentrations of dissolved metals in the mine waters varied considerably with time. During the spring run-off, very high As(V)/As(III) ratios were observed in some poor quality waters presumably due to leaching of oxidized ores and mine wastes in certain locations of the upper levels of the mine. In the late summer, the ratio of As(V)/As(III) decreased as the system became more anaerobic and the water quality showed significant improvement correspondingly. The distribution of the arsenic species appears to be a useful chemical indicator to evaluate the potential of acid water formation and associated metal pollution problems in the ground water systems of this and other similar mining areas.",2012,10/1/1985,1985-10,application/pdf,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",198512,CDA_Wai_1985,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,University of Idaho,Idaho Water Resources Research Institute; IWRRI,Text,University of Idaho,wbv,Water for Idaho,http://digital.lib.uidaho.edu:80/cdm/ref/collection/idahowater/id/102,102,98.pdf,Volume7/CDA_Wai_1985-0.pdf
Assessing habitat suitability for walleye (Stizosteion vitreum) and possible species interaction with salmonid fishes. Research technical completion report,"Bennett, David H.; McArthur, Thomas J.",IWRRI,,,regression analysis; correlation analysis; exotic species; walleye; salmonid,"Sports fishermen throughout North America are pressuring fisheries management agencies to introduce exotic fishes. Few techniques are available, however, to assess the suitability of the habitat and the potential for adverse effects. The objectives of this study were: ( 1) to develop a methodology to predict the probability of successfully establishing an exotic species of fish; (2) to develop a predictive model; and (3) to apply a technique for an ecological analysis of a hypothetical system to assess possible interactions between species. We selected walleye (Stizostedion vitreum) as our target exotic species because of increasing interest to introduce this species into waters throughout Idaho and other states in the Pacific Northwest.",2012,1/1/1985,1985-01,application/pdf,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",198501,198501,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,University of Idaho,Idaho Water Resources Research Institute; IWRRI,Text,University of Idaho,wbv,Water for Idaho,http://digital.lib.uidaho.edu:80/cdm/ref/collection/idahowater/id/432,432,432.pdf,Volume17/198501.pdf
Assessment of hydrologic processes across multiple scales in soils/paleosol sequences using environmental tracers,"Oï¿½Geen, A.T.",Palouse Basin,Palouse,"46.88, -117.17",water supply; groundwater; paleosols,This dissertation examines the ability of the soils/palesols on hillsides (Palouse loess) to recharge deeper aquifers through the use of environmental tracer profiles.  Also described are regional recharge rates and mechanisms as determined through the us,2012,2002,2002,application/pdf,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",,2002_O_Geen_Assessment_Hydrologic_Processes,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,University of Idaho,Idaho Water Resources Research Institute; IWRRI,Text,University of Idaho,wbv,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/idahowater/id/333,333,333.pdf,Volume17/2002_O_Geen_Assessment_Hydrologic_Processes.pdf
"Attitudes and opinions of recreationists towards Wild and Scenic Rivers: A case study of the St. Joe River. Scenic River Study, report no. 9, project no. C-33242-IDA","Christophersen, Kjell",IWRRI,St. Joe,"47.33, -116.48",recreation; public opinion; surveys,"This report compiles information obtained from recreationists interviewed along the St. Joe River, regarding their attitudes and opinions of the proposed inclusion of the river in the National Wild and Scenic Rivers System. A sample of 350 randomly selected recreationists were interviewed. They were stratified into resident and non -resident categories for analytical purposes. Results of the survey revealed that large majorities of both resident and non-resident respondents were strongly or mildly in favor of including the entire river in the Wild and Scenic Rivers System. Their inclusion preferences were largely consistent with responses indicating a general desire to leave the area essentially as it is with little or no further development. In ranking recreational participation activities and other recreational features, the """"scenic beauty"""" category received the most """"excellent"""" votes. Few respondents gave any of the categories a """"poor"""" rating. The majority of resident and non-resident recreationists indicated a willingness to pay entrance fees if the inclusion of the river in the National Wild and Scenic Rivers System necessitated the imposition of user charges.",2012,10/1/1973,1973-10,application/pdf,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",197308,Christophersen_1973,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,University of Idaho,Idaho Water Resources Research Institute; IWRRI,Text,University of Idaho,wbv,Scenic River Study; Water for Idaho,http://digital.lib.uidaho.edu:80/cdm/ref/collection/idahowater/id/259,259,259.pdf,Volume11/Christophersen_1973.pdf
Backcountry water giardia and other potential health hazards,Stream Ecology Center,IWRRI,,,giardia; drinking water; standing waters,This is a pamphlet intended to inform outdoorspeople of the potential dangers of giardia and how to avoid them.,2012,1/1/1986,1986-01,application/pdf,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",198601,198601,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,University of Idaho,Idaho Water Resources Research Institute; IWRRI,Text,University of Idaho,wbv,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/idahowater/id/396,396,396.pdf,Volume17/198601.pdf
"Basic ground-water data for the Moscow Basin, Idaho. Open file report","Crosthwaite, E. G.",Palouse Basin,Moscow,"46.73, -116.99",groundwater data; geohydrology; well data,This report describes ground water level data and pumpage for the Moscow area of the Palouse Basin.,2012,1975,1975,application/pdf,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",,1975_Crosthwaite_Basic_G_W_Data,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,US Geological Survey Open-File Report; Idaho Department of Water Resources,Idaho Water Resources Research Institute; IWRRI,Text,University of Idaho,wbv,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/idahowater/id/300,300,300.pdf,Volume15/1975_Crosthwaite_Basic_G_W_Data.pdf
"Beneficial use attainability assessments of streams in the Lake Coeur d'Alene Basin, Idaho","Hartz, M.",Coeur d'Alene Basin,Coeur d'Alene Basin,"47.52, -116.49",watershed protection; watershed management; rehabilitation; water quality,"Protection and restoration of water bodies within the Lake Coeur d'Alene basin in northern Idaho, are two primary goals of the Coeur d'Alene Basin Restoration Project. The Project provides a mechanism for the coordination of various programs and activities designed to achieve these goals. The Coeur d'Alene Basin Restoration Project Framework is a roadmap for environmental protection and restoration of the basin. A task outlined in the framework, is the identification of attainable uses of stream segments in the basin. This task is the primary objective of this study. Recovery of beneficial uses of water bodies impacted by past land use activities is best assessed by in-stream water quality monitoring with results compared to specific water quality criteria. The beneficial uses of any given water body determine a set of water quality criteria necessary to support those beneficial uses. For this reason, beneficial use attainability assessments were conducted on a wide range of stream segments in the basin. Other objectives of the Coeur d'Alene Basin use attainability analysis are to: refine existing chemical water quality criteria and determine physical habitat and biological criteria necessary to support specific beneficial uses; and assess the status of beneficial uses of waters in the basin. Essentially, beneficial support status as determined by the current study provides a qualitative indication of the current support level of uses deemed attainable for a given waterbody; refined water quality criteria quantitatively identify the desired future condition necessary to achieve full support of beneficial uses. Future monitoring of beneficial use recovery will utilize quanitiative water quality criteria to gauge restoration success. In meeting the study objectives, this study reviewed beneficial use designations currently incorporated in the Idaho Water Quality Standards. A total of 21 streams have use designations in the Lake Coeur d'Alene basin, of which 11 were verified. This study identifies the need to revise the remaining use designations to accurately reflect the actual attainable and existing uses. An additional 155 streams in the basin were assigned beneficial use classifications based on a structured scientific approach set forth in Idaho's standard use attainability protocol. This study documents the attainable and existing beneficial uses for a wide range of water bodies in the Lake Coeur d'Alene basin based on background information provided by cooperating agencies and field verification results from the IDEO 1992 field surveys. In addition, the status of beneficial uses (full support, partial support or non-support) in the basin is assessed. The information generated in the study provides the impetus for anticipated revisions and inclusions of use designations in the Idaho Water Quality Standards, which are necessary for protection and restoration of water quality in the basin. The study results also provide background information necessary for subsequent monitoring of remediation project effectiveness on water quality impaired segments in the basin.",2012,1/1/1993,1993-01,application/pdf,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",,CDA_Hartz_1993,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,"Idaho Health and Welfare, Division of Environmental Quality",Idaho Water Resources Research Institute; IWRRI,Text,University of Idaho,wbv,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/idahowater/id/169,169,169.pdf,Volume10/CDA_Hartz_1993.pdf
Benthic insect community changes in relation to in-stream rehabilitation of a silted stream,"Luedtke, Robert James",IWRRI,Emerald Creek,"47.06, -116.32",sediment control; habitats; rehabilitation,"This study was conducted to evaluate the physical and biological impact of four types of in-stream alterations on Emerald Creek, a silt-polluted stream.",2012,1/1/1973,1973-01,application/pdf,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",197323,Luedtke_1973,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,University of Idaho,Idaho Water Resources Research Institute; IWRRI,Text,University of Idaho,wbv,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/idahowater/id/236,236,236.pdf,Volume12/Luedtke_1973.pdf
"Biological impact of combined metallic and organic pollution in the Coeur d'Alene-Spokane River drainage system. Project completion report, OWRR project no. B-044-WASH and B-015-IDA","Funk, William H.; Rabe, Fred W.; Filby, Royston.",Coeur d'Alene Basin,Spokane River; Coeur d'Alene Lake,"47.69, -116.81",benthos; water quality; heavy metals; food chains; aquatic environment,"An investigation was made into the biological effects of metallic pollution in the Coeur d'Alene-Spokane River Lake drainage system.  Water quality data show heavy inflows of nutrients during late spring into Coeur d'Alene Lake from the St. Joe and Coeur d'Alene Rivers and Plummer Creek.  Although no water devoid of dissolved oxygen have been measured, 2-4  mg/1 have been measured in the southern portion of the lake.  Phytoplankton productivity measurements and bottom organism identification and enumeration have shown that the lake functions at several trophic levels, meso-eutrophic to eutrophic in the southern portion, mesotrophic in the immediate area of the Coeur d'Alene River and ogliotrophic in the northern portions.  High metal concentrations (1000-7000 mg/kg Zn) in the bottom sediment of the middle and northern portions of the lake did not appear to substantially affect distribution of benthic chironomids or ogliochaetes.  Lake sediment cores taken across the delta region of the Coeur d'Alene River penetrated through the region of high metallic concentration and allowed an average sediment deposition rate to be calculated.  Algal toxicity tests showed the amount of Zn normally present in the Coeur d'Alene River and Spokane River to be inhibitory to the algal test organism Selanastrum capricornutum.  The water quality of the Spokane River was shown to be of good to excellent quality in all parameters tested except for high metallic content, especially Zn.  Activation and atomic absorption analysis of metallic content in the tissues of the organisms populating the Spokane River indicated that the algae were the prime concetrators of Zn, Cd, Pb, Hg, Fe, and Mn.  Algae and detritus consumers such as the larvae of caddisfly Hydropsyche and the nymphs of the mayfly Baetis reflected high metallic concentrations.  Most higher aquatic plants showed relatively lower concentrations.  Analysis of fish tissues showed considerably less concentration of metals than the aquatic plants, insects or algae.  However, Zn was measured at concentrations of 80-200 mg/kg in liver tissues of several species of fishes.  Fillet tissues generally contained less than one quarter of these amounts.  The fish, when collected, did not appear under stress leading the investigators to believe that most of the metals--although present in relatively high concentration in the tissues of the orgamisms tested--must be in a relatively innocuous state.",2012,6/30/1973,1973-06-30,application/pdf,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",197315,CDA_Funk_1973,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,University of Idaho,"Co-investigators: Dunigan, Jr., Paul F. X.; Thompson, Neil E.; Condit, Richard J.; Bennet, Paul J.; Shah, Kishor; Parker, Jon I.; Winner, James E.; Bartlett, Larry; Savage, Nancy L.",Text,University of Idaho,wbv,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/idahowater/id/98,98,94.pdf,Volume7/CDA_Funk_1973-0.pdf
"Biological productivity of the Coeur d'Alene River as related to water quality. Research technical completion report, Project A-024-IDA","Rabe, F. W.; Sappington, C. W.",Coeur d'Alene Basin,Coeur d'Alene River,"47.51, -116.15",zinc; riverine limnology; bioassay; trout,"Determinations of the acute toxicity of zinc to Cutthroat trout (Salmo clarki) fingerlings were conducted using two bioassay systems. Methyl orange alkalinity of the test water was 23.9 ppm as calcium carbonate. PH values were near neutrality. In a standard, static bioassay, 24, 48 and 96 hr median tolerance limit (TLm) values of 0.62, 0.27 and 0.09 ppm zinc respectively, were obtained. Results of a recirculating, flowing-water bioassay showed a 24 hr TLm value of 0.42 ppm zinc. No 48 or 96 hr values were found due to statistical nonsignificance of the data. The inconclusiveness of the results of the running system may be due to changes in the concentration of zinc present in the test water as a result of sorption of the zinc ions to the bottom and sides of the test tank.",2012,12/1/1970,1970-12,application/pdf,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",197017,CDA_Rabe_1970,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,University of Idaho,Idaho Water Resources Research Institute; IWRRI,Text,University of Idaho,wbv,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/idahowater/id/162,162,162.pdf,Volume10/CDA_Rabe_1970.pdf
"Blue-green algae toxicity in Black Lake, Kootenai County, Idaho. Research technical completion report","Kann, Jacob; Falter, Michael C.;",Coeur d'Alene Basin,Black Lake; Coeur d'Alene River,"47.45, -116.66",cyanophyta; phytoplankton; toxicity;,"Increasing occurrences of explosive growths or blooms of blue-green alqae in lakes throughout the western United States have been linked to recreational use, sewage inputs, and non-point runoff associated with agriculture and grazing. In certain instances these blooms produce a toxin which can be lethal to fish, aquatic invertebrates, mammals and humans. Black Lake in northern Idaho has experienced massive late summer and fall growths of a toxic algae, Nostoc commune. At times, demonstrated fatal toxicity to cattle and small mammals has resulted in three of the last four years. Since little is known of the exact environmental conditions required to cause toxicity, environmental and phytoplankton parameters were monitored throughout the lake durinq summer and fall, 1984. Although conditions seemed favorable, and other blooms were intermittent through the summer-fall 1984, Nostoc did not develop to bloom proportions and toxicity did not occur. Algal assay results showed that algal growth potential ranged in the very productive range of -1 9.60 to 12.16 mg dry weight 1 /14 days for the late summer-early fall period. The limiting nutrient switched from phosphorus to nitrogen during the fall months, also indicating the potential for a Nostoc bloom. All indicators showed that Black Lake was highly productive in 1984 despite the absence of a toxic Nostoc bloom. Water transparency ranqed from 0.8 to 3.4 m, averaging 1.2 m from June to October. pH values went as high as 8.2, with the total absence of CO2 in some of the littoral areas. Dissolved oxygen values were at super saturated levels throughout most of the sampling reqime. Diatoms (Fragilaria sp., Melosira sp., and Asterionella sp.) dominated the phytoplankton composition with Nostoc only showing up in early August. Chlorophyll 11 a11 values correlated with phytoplankton trends, with highs of 15 to 31 mgl-1, and lows of 0 to 5 mgl-1. The fact that Black Lake is clearly eutrophic, and that the potential for a blue-green bloom was present but did not materialize, may possibly be explained by two factors ... climatoloqical trends and stratification pattern. The absence of a well developed hypolimion along with excessive cloudiness and lack of a protacted calm, bright, and warm fall may have accounted for the lack of a toxic bloom in Black Lake during 1984.",2012,9/1/1985,1985-09,application/pdf,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",198508,CDA_Kann_1985,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,University of Idaho,Idaho Water Resources Research Institute; IWRRI,Text,University of Idaho,wbv,Water for Idaho,http://digital.lib.uidaho.edu:80/cdm/ref/collection/idahowater/id/91,91,102.pdf,Volume7/CDA_Kann_1985-0.pdf
